Address,lat,long
"Seth Plan, Ridgeline At Meridian Village, Parker, CO 80134",39.5175575,39.5175575
"Hanford Plan, Timbers At The Pinery, Parker, CO 80134",39.4429209,39.4429209
"14956 Vienna Cir, Parker, CO 80134",39.524628,39.524628
"5107 Red Oak Way, Parker, CO 80134",39.4365184,39.4365184
"17489 Springfield Dr, Parker, CO 80134",39.51505,39.51505
"Dillon II Plan, Stone Creek Ranch, Parker, CO 80134",39.448653,39.448653
"Evans (Residence 49201) Plan, Anthology, Parker, CO 80134",42.3151209,42.3151209
"4999 Caballo Pl, Parker, CO 80134",39.446851,39.446851
"16523 High Desert Pl, Parker, CO 80134",39.505903,39.505903
"10578 Stonemeadow Dr, Parker, CO 80134",39.523254,39.523254
"17835 E Cloudberry Dr, Parker, CO 80134",39.5411467,39.5411467
"10812 Milliken St, Parker, CO 80134",39.520444,39.520444
"8898 Brompton Way, Parker, CO 80134",39.555041,39.555041
"12342 S Nate Cir, Parker, CO 80134",39.4927637,39.4927637
"17551 Springfield Dr, Parker, CO 80134",38.147543,38.147543
"17464 Springfield Ln, Parker, CO 80134",39.5130487,39.5130487
"13060 Norway Maple St, Parker, CO 80134",39.4793894,39.4793894
"10022 Bristleridge St, Parker, CO 80134",39.534485,39.534485
"17525 Wilde Ave Unit 308, Parker, CO 80134",39.549525,39.549525
"17933 Coral Burst St, Parker, CO 80134",39.4966773,39.4966773
"European Hillside Turin Plan, Pradera, Parker, CO 80134",45.0703393,45.0703393
"9311 Amison Cir Apt 102, Parker, CO 80134",39.5477874,39.5477874
"11207 Jordan Ct, Parker, CO 80134",39.5172767,39.5172767
"18611 Stroh Rd Unit 5303, Parker, CO 80134",39.4794213,39.4794213
"4954 Carefree Trl, Parker, CO 80134",39.4316675,39.4316675
"18660 Horse Creek St, Parker, CO 80134",39.4818023,39.4818023
"7959 Forest Keep Cir, Parker, CO 80134",39.4801299,39.4801299
"14899 Pepper Pike Pl, Parker, CO 80134",39.5185877,39.5185877
"5580 Sunridge Dr, Parker, CO 80134",39.4426143,39.4426143
"41653 Thunder Hill Rd, Parker, CO 80134",39.474621,39.474621
"16264 White Hawk Dr, Parker, CO 80134",39.5166722,39.5166722
"17027 Numa Pl, Parker, CO 80134",39.5208315,39.5208315
"12820 Randles Ave, Parker, CO 80134",39.4832964,39.4832964
"8801 Eagle Moon Way, Parker, CO 80134",39.466405,39.466405
"5771 Distant View Pl, Parker, CO 80134",39.4433427,39.4433427
"16460 Martingale Dr, Parker, CO 80134",39.5214242,39.5214242
"5211 Moonlight Way, Parker, CO 80134",39.4371218,39.4371218
"5581 Twilight Way, Parker, CO 80134",39.443485,39.443485
"11796 Edenfeld St, Parker, CO 80134",39.5022552,39.5022552
"5766 Distant View Pl, Parker, CO 80134",39.442753,39.442753
"20181 E Shady Ridge Rd, Parker, CO 80134",39.4973742,39.4973742
"5596 Raintree Dr, Parker, CO 80134",39.441195,39.441195
"4740 Sonado Pl, Parker, CO 80134",39.444287,39.444287
"10875 Mcharg Ct, Parker, CO 80134",39.5180481,39.5180481
"10315 Nottingham Dr, Parker, CO 80134",39.5282965,39.5282965
"17209 Wilde Ave Unit 205, Parker, CO 80134",39.5510425,39.5510425
"7500 E Sunset Trl, Parker, CO 80134",39.4858526,39.4858526
"12615 S Robinson Ranch Dr, Parker, CO 80134",39.4873805,39.4873805
"14852 Pepper Pike Pl, Parker, CO 80134",39.5185877,39.5185877
"14018 Touchstone St, Parker, CO 80134",39.5189424,39.5189424
"12193 Skywalk St, Parker, CO 80134",39.495495,39.495495
"8400 Witez Ct, Parker, CO 80134",39.473709,39.473709
"17545 Celestine Ct, Parker, CO 80134",39.5324711,39.5324711
"5409 Forest View Rd, Parker, CO 80134",39.4407883,39.4407883
"11204 Haxtun Ct, Parker, CO 80134",39.5164634,39.5164634
"16937 Molina Pl, Parker, CO 80134",39.524696,39.524696
"6586 Windmont Ave, Parker, CO 80134",39.4580848,39.4580848
"17041 Hastings Ave, Parker, CO 80134",39.5182939,39.5182939
"5885 Bridle Path Ln, Parker, CO 80134",39.4347179,39.4347179
"17605 Ponderosa Ave, Parker, CO 80134",39.5605798,39.5605798
"19252 E Hollow Creek Dr, Parker, CO 80134",39.4897274,39.4897274
"8651 Witez Ct, Parker, CO 80134",39.476144,39.476144
"17279 E Twinberry St, Parker, CO 80134",39.5401952,39.5401952
"8662 Bluegrass Cir, Parker, CO 80134",39.5605532,39.5605532
"7894 Forest Keep Cir, Parker, CO 80134",39.483656,39.483656
"5893 Saddle Creek Trl, Parker, CO 80134",39.4475297,39.4475297
"15538 Greenstone Cir, Parker, CO 80134",39.5388169,39.5388169
"4947 Raintree Dr, Parker, CO 80134",39.4369851,39.4369851
"13008 S Stuart Way, Parker, CO 80134",39.4799264,39.4799264
"7309 Prairie Star Ct, Parker, CO 80134",39.4692752,39.4692752
"5124 Starry Sky Way, Parker, CO 80134",39.4364378,39.4364378
"9039 Rambling Oak Pl, Parker, CO 80134",39.4416059,39.4416059
"12234 Foxtail Pine Ct, Parker, CO 80134",39.494159,39.494159
"8575 Witez Ct, Parker, CO 80134",39.4755015,39.4755015
"10687 Evans Ridge Rd, Parker, CO 80134",39.440762,39.440762
"7895 Forest Keep Cir, Parker, CO 80134",39.4836479,39.4836479
"10006 Brisbane Ln, Highlands Ranch, CO 80130",39.5350392,39.5350392
"9334 Princeton St, Highlands Ranch, CO 80130",39.5463885,39.5463885
"5358 Applebrook Ln, Highlands Ranch, CO 80130",39.5243755,39.5243755
"10269 Rotherwood Cir, Highlands Ranch, CO 80130",39.5289352,39.5289352
"Aspenmeadow Cir, Highlands Ranch, CO 80130",39.5150567,39.5150567
"9415 Princeton Cir, Highlands Ranch, CO 80130",39.5450198,39.5450198
"5039 Ashbrook Cir, Highlands Ranch, CO 80130",39.5310434,39.5310434
"15 Birmingham Ct, Highlands Ranch, CO 80130",38.9954567,38.9954567
"Coming Soon Plan, Canyon Village, Littleton, CO 80130",35.884084,35.884084
"9495 Princeton Cir, Highlands Ranch, CO 80130",39.544237,39.544237
"4718 Fenwood Dr, Highlands Ranch, CO 80130",39.5323469,39.5323469
"10081 Blackbird Cir, Highlands Ranch, CO 80130",39.5350016,39.5350016
"10212 Nickolas Ave, Highlands Ranch, CO 80130",39.5309381,39.5309381
"10048 Broome Way, Highlands Ranch, CO 80130",39.5336958,39.5336958
"6462 Silver Mesa Dr Unit D, Highlands Ranch, CO 80130",39.5546859,39.5546859
"6470 Silver Mesa Dr Unit A, Highlands Ranch, CO 80130",39.554545,39.554545
"8645 Gold Peak Pl Unit E, Littleton, CO 80130",39.56007,39.56007
"8726 Aberdeen Cir, Highlands Ranch, CO 80130",39.5580928,39.5580928
"4575 Fenwood Pl, Highlands Ranch, CO 80130",39.5325892,39.5325892
"8571 Gold Peak Dr Unit F, Littleton, CO 80130",39.5602367,39.5602367
"8860 Chestnut Hill Way, Highlands Ranch, CO 80130",39.555736,39.555736
"4911 Montvale Dr, Highlands Ranch, CO 80130",39.5212084,39.5212084
"10905 Glengate Cir, Highlands Ranch, CO 80130",39.514441,39.514441
