Type,Address,Price,Street Address,City,State,Zip Code,Sq. Feet,Href
House for sale,"8860 Chestnut Hill Way, Highlands Ranch, CO 80130","$597,000 ",8860 Chestnut Hill Way ,Highlands Ranch,CO,80130,"4,260",https://www.zillow.com/homedetails/8860-Chestnut-Hill-Way-Highlands-Ranch-CO-80130/13452632_zpid/
House for sale,"31 Canongate Ln, Highlands Ranch, CO 80130","$499,000 ",31 Canongate Ln ,Highlands Ranch,CO,80130,"3,088",https://www.zillow.com/homedetails/31-Canongate-Ln-Highlands-Ranch-CO-80130/13453552_zpid/
House for sale,"4911 Montvale Dr, Highlands Ranch, CO 80130","$689,000 ",4911 Montvale Dr ,Highlands Ranch,CO,80130,"5,018",https://www.zillow.com/homedetails/4911-Montvale-Dr-Highlands-Ranch-CO-80130/61084638_zpid/
House for sale,"10905 Glengate Cir, Highlands Ranch, CO 80130","$725,000 ",10905 Glengate Cir ,Highlands Ranch,CO,80130,"4,398",https://www.zillow.com/homedetails/10905-Glengate-Cir-Highlands-Ranch-CO-80130/82020296_zpid/
House for sale,"6453 Dutch Creek St, Highlands Ranch, CO 80130","$699,999 ",6453 Dutch Creek St ,Highlands Ranch,CO,80130,"4,275",https://www.zillow.com/homedetails/6453-Dutch-Creek-St-Highlands-Ranch-CO-80130/13457185_zpid/
House for sale,"10274 Knoll Ct, Highlands Ranch, CO 80130","$719,000 ",10274 Knoll Ct ,Highlands Ranch,CO,80130,"4,348",https://www.zillow.com/homedetails/10274-Knoll-Ct-Highlands-Ranch-CO-80130/13461505_zpid/
Condo for sale,"6480 Silver Mesa Dr Unit D, Highlands Ranch, CO 80130","$389,900 ",6480 Silver Mesa Dr Unit D,Highlands Ranch,CO,80130,"1,627",https://www.zillow.com/homedetails/6480-Silver-Mesa-Dr-UNIT-D-Highlands-Ranch-CO-80130/60965313_zpid/
For sale by owner,"10898 Valleybrook Cir, Highlands Ranch, CO 80130","$738,000 ",10898 Valleybrook Cir ,Highlands Ranch,CO,80130,"5,109",https://www.zillow.com/homedetails/10898-Valleybrook-Cir-Highlands-Ranch-CO-80130/82021331_zpid/
Condo for sale,"8551 Gold Peak Dr, Highlands Ranch, CO 80130","$399,500 ",8551 Gold Peak Dr ,Highlands Ranch,CO,80130,"1,457",https://www.zillow.com/homedetails/8551-Gold-Peak-Dr-Highlands-Ranch-CO-80130/81965113_zpid/
Pre-foreclosure,"9380 Weeping Willow Ct, Highlands Ranch, CO 80130","$467,782 ",9380 Weeping Willow Ct ,Highlands Ranch,CO,80130,"1,958",https://www.zillow.com/homedetails/9380-Weeping-Willow-Ct-Highlands-Ranch-CO-80130/13454128_zpid/
Pre-foreclosure,"9495 Princeton Cir, Highlands Ranch, CO 80130","$565,125 ",9495 Princeton Cir ,Highlands Ranch,CO,80130,"3,207",https://www.zillow.com/homedetails/9495-Princeton-Cir-Highlands-Ranch-CO-80130/13455800_zpid/
Pre-foreclosure,"9323 Weeping Willow Pl, Highlands Ranch, CO 80130","$436,880 ",9323 Weeping Willow Pl ,Highlands Ranch,CO,80130,"1,807",https://www.zillow.com/homedetails/9323-Weeping-Willow-Pl-Highlands-Ranch-CO-80130/13454081_zpid/
Pre-foreclosure,"6281 Yale Dr, Highlands Ranch, CO 80130","$442,722 ",6281 Yale Dr ,Highlands Ranch,CO,80130,"1,463",https://www.zillow.com/homedetails/6281-Yale-Dr-Highlands-Ranch-CO-80130/13456396_zpid/
Condo for sale,"10521 Ashfield St # 4a, Littleton, CO 80126","$420,000 ",10521 Ashfield St # 4A,Littleton,CO,80126,"1,614",https://www.zillow.com/homedetails/10521-Ashfield-St-4A-Littleton-CO-80126/63390913_zpid/
Coming soon,"2875 Canyon Crest Ln, Highlands Ranch, CO 80126","$725,000 ",2875 Canyon Crest Ln ,Highlands Ranch,CO,80126,"3,073",https://www.zillow.com/homedetails/2875-Canyon-Crest-Ln-Highlands-Ranch-CO-80126/13446551_zpid/
House for sale,"3777 Mallard St, Highlands Ranch, CO 80126","$575,000 ",3777 Mallard St ,Highlands Ranch,CO,80126,"3,327",https://www.zillow.com/homedetails/3777-Mallard-St-Highlands-Ranch-CO-80126/13435703_zpid/
House for sale,"2960 Danbury Ave, Highlands Ranch, CO 80126","$799,900 ",2960 Danbury Ave ,Highlands Ranch,CO,80126,"4,478",https://www.zillow.com/homedetails/2960-Danbury-Ave-Highlands-Ranch-CO-80126/82029588_zpid/
House for sale,"10548 Ashfield St, Highlands Ranch, CO 80126","$469,000 ",10548 Ashfield St ,Highlands Ranch,CO,80126,"2,031",https://www.zillow.com/homedetails/10548-Ashfield-St-Highlands-Ranch-CO-80126/67452262_zpid/
House for sale,"3953 Blue Pine Cir, Highlands Ranch, CO 80126","$539,000 ",3953 Blue Pine Cir ,Highlands Ranch,CO,80126,"2,532",https://www.zillow.com/homedetails/3953-Blue-Pine-Cir-Highlands-Ranch-CO-80126/62809957_zpid/
Townhouse for sale,"9043 Bear Mountain Dr, Highlands Ranch, CO 80126","$375,000 ",9043 Bear Mountain Dr ,Highlands Ranch,CO,80126,"1,741",https://www.zillow.com/homedetails/9043-Bear-Mountain-Dr-Highlands-Ranch-CO-80126/13437472_zpid/
House for sale,"3350 Darlington Cir, Highlands Ranch, CO 80126","$698,000 ",3350 Darlington Cir ,Highlands Ranch,CO,80126,"4,435",https://www.zillow.com/homedetails/3350-Darlington-Cir-Highlands-Ranch-CO-80126/55811754_zpid/
House for sale,"1405 Goldsmith Dr, Highlands Ranch, CO 80126","$650,000 ",1405 Goldsmith Dr ,Highlands Ranch,CO,80126,"3,821",https://www.zillow.com/homedetails/1405-Goldsmith-Dr-Highlands-Ranch-CO-80126/13444197_zpid/
Condo for sale,"3701 Cactus Creek Ct Unit 104, Highlands Ranch, CO 80126","$259,000 ",3701 Cactus Creek Ct Unit 104,Highlands Ranch,CO,80126,"1,077",https://www.zillow.com/homedetails/3701-Cactus-Creek-Ct-UNIT-104-Highlands-Ranch-CO-80126/13435055_zpid/
House for sale,"745 Poppywood Dr, Highlands Ranch, CO 80126","$565,000 ",745 Poppywood Dr ,Highlands Ranch,CO,80126,"2,790",https://www.zillow.com/homedetails/745-Poppywood-Dr-Highlands-Ranch-CO-80126/13442939_zpid/
House for sale,"9916 Clairton Way, Highlands Ranch, CO 80126","$800,000 ",9916 Clairton Way ,Highlands Ranch,CO,80126,"4,817",https://www.zillow.com/homedetails/9916-Clairton-Way-Highlands-Ranch-CO-80126/13446059_zpid/
House for sale,"831 Courtland Pl, Highlands Ranch, CO 80126","$2,250,000 ",831 Courtland Pl ,Highlands Ranch,CO,80126,"7,250",https://www.zillow.com/homedetails/831-Courtland-Pl-Highlands-Ranch-CO-80126/13447138_zpid/
For sale by owner,"640 Longfellow Ln, Highlands Ranch, CO 80126","$424,000 ",640 Longfellow Ln ,Highlands Ranch,CO,80126,"1,544",https://www.zillow.com/homedetails/640-Longfellow-Ln-Highlands-Ranch-CO-80126/13441811_zpid/
House for sale,"10280 Charissglen Cir, Highlands Ranch, CO 80126","$774,900 ",10280 Charissglen Cir ,Highlands Ranch,CO,80126,"4,801",https://www.zillow.com/homedetails/10280-Charissglen-Cir-Highlands-Ranch-CO-80126/13447276_zpid/
House for sale,"10427 Willowwisp Way, Highlands Ranch, CO 80126","$919,000 ",10427 Willowwisp Way ,Highlands Ranch,CO,80126,"5,492",https://www.zillow.com/homedetails/10427-Willowwisp-Way-Highlands-Ranch-CO-80126/82031391_zpid/
House for sale,"8707 Redwing Ave, Littleton, CO 80126","$509,000 ",8707 Redwing Ave ,Littleton,CO,80126,"2,882",https://www.zillow.com/homedetails/8707-Redwing-Ave-Littleton-CO-80126/13453227_zpid/
Condo for sale,"8437 Thunder Ridge Way Unit 203, Highlands Ranch, CO 80126","$285,000 ",8437 Thunder Ridge Way Unit 203,Highlands Ranch,CO,80126,"1,077",https://www.zillow.com/homedetails/8437-Thunder-Ridge-Way-UNIT-203-Highlands-Ranch-CO-80126/13434802_zpid/
Townhouse for sale,"8329 Stonybridge Cir, Highlands Ranch, CO 80126","$379,000 ",8329 Stonybridge Cir ,Highlands Ranch,CO,80126,"1,570",https://www.zillow.com/homedetails/8329-Stonybridge-Cir-Highlands-Ranch-CO-80126/61084297_zpid/
House for sale,"9307 Shadowglen Ct, Highlands Ranch, CO 80126","$539,900 ",9307 Shadowglen Ct ,Highlands Ranch,CO,80126,"2,526",https://www.zillow.com/homedetails/9307-Shadowglen-Ct-Highlands-Ranch-CO-80126/13444081_zpid/
House for sale,"9292 Rockport Ln, Highlands Ranch, CO 80126","$1,043,000 ",9292 Rockport Ln ,Highlands Ranch,CO,80126,"5,880",https://www.zillow.com/homedetails/9292-Rockport-Ln-Highlands-Ranch-CO-80126/13445142_zpid/
Townhouse for sale,"9561 Pendio Ct, Highlands Ranch, CO 80126","$779,000 ",9561 Pendio Ct ,Highlands Ranch,CO,80126,"3,215",https://www.zillow.com/homedetails/9561-Pendio-Ct-Highlands-Ranch-CO-80126/121424724_zpid/
House for sale,"2285 Wynterbrook Dr, Highlands Ranch, CO 80126","$650,000 ",2285 Wynterbrook Dr ,Highlands Ranch,CO,80126,"4,093",https://www.zillow.com/homedetails/2285-Wynterbrook-Dr-Highlands-Ranch-CO-80126/13444945_zpid/
For sale by owner,"2990 Newbury Ct, Highlands Ranch, CO 80126","$850,000 ",2990 Newbury Ct ,Highlands Ranch,CO,80126,"3,650",https://www.zillow.com/homedetails/2990-Newbury-Ct-Highlands-Ranch-CO-80126/61084397_zpid/
House for sale,"8353 Sunnyside Ct, Highlands Ranch, CO 80126","$433,000 ",8353 Sunnyside Ct ,Highlands Ranch,CO,80126,"1,680",https://www.zillow.com/homedetails/8353-Sunnyside-Ct-Highlands-Ranch-CO-80126/13436460_zpid/
House for sale,"3146 Woodbriar Dr, Highlands Ranch, CO 80126","$495,000 ",3146 Woodbriar Dr ,Highlands Ranch,CO,80126,"2,321",https://www.zillow.com/homedetails/3146-Woodbriar-Dr-Highlands-Ranch-CO-80126/67450040_zpid/
Auction,"9545 Joyce Ln, Highlands Ranch, CO 80126","$367,705 ",9545 Joyce Ln ,Highlands Ranch,CO,80126,"1,284",https://www.zillow.com/homedetails/9545-Joyce-Ln-Highlands-Ranch-CO-80126/13442755_zpid/
House for sale,"9727 Dunning Cir, Highlands Ranch, CO 80126","$550,000 ",9727 Dunning Cir ,Highlands Ranch,CO,80126,"2,811",https://www.zillow.com/homedetails/9727-Dunning-Cir-Highlands-Ranch-CO-80126/108383531_zpid/
House for sale,"36 Woodland Cir, Highlands Ranch, CO 80126","$495,000 ",36 Woodland Cir ,Highlands Ranch,CO,80126,"2,635",https://www.zillow.com/homedetails/36-Woodland-Cir-Highlands-Ranch-CO-80126/13442229_zpid/
House for sale,"2753 Timberchase Trl, Highlands Ranch, CO 80126","$825,000 ",2753 Timberchase Trl ,Highlands Ranch,CO,80126,"5,696",https://www.zillow.com/homedetails/2753-Timberchase-Trl-Highlands-Ranch-CO-80126/13446462_zpid/
House for sale,"9344 Montrose Way, Highlands Ranch, CO 80126","$535,000 ",9344 Montrose Way ,Highlands Ranch,CO,80126,"3,049",https://www.zillow.com/homedetails/9344-Montrose-Way-Highlands-Ranch-CO-80126/13444035_zpid/
Townhouse for sale,"8318 Stonybridge Cir, Highlands Ranch, CO 80126","$365,000 ",8318 Stonybridge Cir ,Highlands Ranch,CO,80126,"1,618",https://www.zillow.com/homedetails/8318-Stonybridge-Cir-Highlands-Ranch-CO-80126/61084263_zpid/
Townhouse for sale,"9360 Sori Ln, Highlands Ranch, CO 80126","$685,000 ",9360 Sori Ln ,Highlands Ranch,CO,80126,"2,402",https://www.zillow.com/homedetails/9360-Sori-Ln-Highlands-Ranch-CO-80126/108244684_zpid/
Condo for sale,"8334 Pebble Creek Way Unit 103, Highlands Ranch, CO 80126","$288,900 ",8334 Pebble Creek Way Unit 103,Highlands Ranch,CO,80126,"1,077",https://www.zillow.com/homedetails/8334-Pebble-Creek-Way-UNIT-103-Highlands-Ranch-CO-80126/13434966_zpid/
House for sale,"452 Pine Flower Ct, Highlands Ranch, CO 80126","$959,900 ",452 Pine Flower Ct ,Highlands Ranch,CO,80126,"4,225",https://www.zillow.com/homedetails/452-Pine-Flower-Ct-Highlands-Ranch-CO-80126/108400274_zpid/
House for sale,"1 Red Tail Dr, Highlands Ranch, CO 80126","$1,180,000 ",1 Red Tail Dr ,Highlands Ranch,CO,80126,"6,220",https://www.zillow.com/homedetails/1-Red-Tail-Dr-Highlands-Ranch-CO-80126/13435465_zpid/
Condo for sale,"10570 Parkington Ln Unit 32c, Littleton, CO 80126","$399,900 ",10570 Parkington Ln Unit 32C,Littleton,CO,80126,"1,570",https://www.zillow.com/homedetails/10570-Parkington-Ln-UNIT-32C-Littleton-CO-80126/63390277_zpid/
House for sale,"759 Ridgemont Cir, Highlands Ranch, CO 80126","$725,000 ",759 Ridgemont Cir ,Highlands Ranch,CO,80126,"4,210",https://www.zillow.com/homedetails/759-Ridgemont-Cir-Highlands-Ranch-CO-80126/52457535_zpid/
House for sale,"3391 Westhaven Pl, Highlands Ranch, CO 80126","$750,000 ",3391 Westhaven Pl ,Highlands Ranch,CO,80126,"4,727",https://www.zillow.com/homedetails/3391-Westhaven-Pl-Highlands-Ranch-CO-80126/55811827_zpid/
House for sale,"8978 Green Meadows Ln, Highlands Ranch, CO 80126","$660,000 ",8978 Green Meadows Ln ,Highlands Ranch,CO,80126,"3,273",https://www.zillow.com/homedetails/8978-Green-Meadows-Ln-Highlands-Ranch-CO-80126/13435302_zpid/
House for sale,"486 Maplehurst Dr, Highlands Ranch, CO 80126","$1,150,000 ",486 Maplehurst Dr ,Highlands Ranch,CO,80126,"5,376",https://www.zillow.com/homedetails/486-Maplehurst-Dr-Highlands-Ranch-CO-80126/87810502_zpid/
House for sale,"10643 Star Thistle Ct, Highlands Ranch, CO 80126","$999,000 ",10643 Star Thistle Ct ,Highlands Ranch,CO,80126,"4,225",https://www.zillow.com/homedetails/10643-Star-Thistle-Ct-Highlands-Ranch-CO-80126/119076188_zpid/
House for sale,"10035 Strathfield Ln, Highlands Ranch, CO 80126","$529,500 ",10035 Strathfield Ln ,Highlands Ranch,CO,80126,"2,691",https://www.zillow.com/homedetails/10035-Strathfield-Ln-Highlands-Ranch-CO-80126/13461957_zpid/
House for sale,"10235 Charissglen Cir, Highlands Ranch, CO 80126","$749,500 ",10235 Charissglen Cir ,Highlands Ranch,CO,80126,"4,182",https://www.zillow.com/homedetails/10235-Charissglen-Cir-Highlands-Ranch-CO-80126/13447334_zpid/
Condo for sale,"4771 Copeland Cir Unit 204, Littleton, CO 80126","$355,000 ",4771 Copeland Cir Unit 204,Littleton,CO,80126,"1,227",https://www.zillow.com/homedetails/4771-Copeland-Cir-UNIT-204-Littleton-CO-80126/67455275_zpid/
House for sale,"2735 Southshire Rd, Highlands Ranch, CO 80126","$928,000 ",2735 Southshire Rd ,Highlands Ranch,CO,80126,"6,158",https://www.zillow.com/homedetails/2735-Southshire-Rd-Highlands-Ranch-CO-80126/67451260_zpid/
House for sale,"10836 Manor Stone Dr, Littleton, CO 80126","$1,098,000 ",10836 Manor Stone Dr ,Littleton,CO,80126,"3,550",https://www.zillow.com/homedetails/10836-Manor-Stone-Dr-Littleton-CO-80126/119231270_zpid/
House for sale,"857 Fairchild Dr, Highlands Ranch, CO 80126","$1,325,000 ",857 Fairchild Dr ,Highlands Ranch,CO,80126,"6,167",https://www.zillow.com/homedetails/857-Fairchild-Dr-Highlands-Ranch-CO-80126/13447144_zpid/
House for sale,"10474 Marigold Ct, Highlands Ranch, CO 80126","$1,050,000 ",10474 Marigold Ct ,Highlands Ranch,CO,80126,"6,053",https://www.zillow.com/homedetails/10474-Marigold-Ct-Highlands-Ranch-CO-80126/81961794_zpid/
Auction,"3730 White Bay Dr, Highlands Ranch, CO 80126","$856,248 ",3730 White Bay Dr ,Highlands Ranch,CO,80126,"4,217",https://www.zillow.com/homedetails/3730-White-Bay-Dr-Highlands-Ranch-CO-80126/13445144_zpid/
House for sale,"10710 Manor Stone Dr, Littleton, CO 80126","$1,150,000 ",10710 Manor Stone Dr ,Littleton,CO,80126,"5,319",https://www.zillow.com/homedetails/10710-Manor-Stone-Dr-Littleton-CO-80126/119231905_zpid/
Pre-foreclosure,"3165 Thistlebrook Cir, Highlands Ranch, CO 80126","$520,315 ",3165 Thistlebrook Cir ,Highlands Ranch,CO,80126,"1,813",https://www.zillow.com/homedetails/3165-Thistlebrook-Cir-Highlands-Ranch-CO-80126/13446255_zpid/
Pre-foreclosure,"8798 Westwind Ln, Highlands Ranch, CO 80126","$743,775 ",8798 Westwind Ln ,Highlands Ranch,CO,80126,"3,279",https://www.zillow.com/homedetails/8798-Westwind-Ln-Highlands-Ranch-CO-80126/13435210_zpid/
House for sale,"9931 Stratford Ln, Highlands Ranch, CO 80126","$699,502 ",9931 Stratford Ln ,Highlands Ranch,CO,80126,"3,839",https://www.zillow.com/homedetails/9931-Stratford-Ln-Highlands-Ranch-CO-80126/13446945_zpid/
Pre-foreclosure,"683 Ridgemont Cir, Highlands Ranch, CO 80126","$778,869 ",683 Ridgemont Cir ,Highlands Ranch,CO,80126,"4,976",https://www.zillow.com/homedetails/683-Ridgemont-Cir-Highlands-Ranch-CO-80126/13447639_zpid/
Pre-foreclosure,"10830 Hickory Ridge St, Highlands Ranch, CO 80126","$618,185 ",10830 Hickory Ridge St ,Highlands Ranch,CO,80126,"3,093",https://www.zillow.com/homedetails/10830-Hickory-Ridge-St-Highlands-Ranch-CO-80126/62810009_zpid/
House for sale,"1589 Spring Water Way, Highlands Ranch, CO 80129","$459,900 ",1589 Spring Water Way ,Highlands Ranch,CO,80129,"1,744",https://www.zillow.com/homedetails/1589-Spring-Water-Way-Highlands-Ranch-CO-80129/13449097_zpid/
House for sale,"9407 High Cliffe St, Highlands Ranch, CO 80129","$495,000 ",9407 High Cliffe St ,Highlands Ranch,CO,80129,"2,632",https://www.zillow.com/homedetails/9407-High-Cliffe-St-Highlands-Ranch-CO-80129/13438439_zpid/
House for sale,"1548 Briarhollow Ln, Highlands Ranch, CO 80129","$445,000 ",1548 Briarhollow Ln ,Highlands Ranch,CO,80129,"2,320",https://www.zillow.com/homedetails/1548-Briarhollow-Ln-Highlands-Ranch-CO-80129/13448508_zpid/
House for sale,"2236 Hyacinth Rd, Highlands Ranch, CO 80129","$490,000 ",2236 Hyacinth Rd ,Highlands Ranch,CO,80129,"2,005",https://www.zillow.com/homedetails/2236-Hyacinth-Rd-Highlands-Ranch-CO-80129/13449208_zpid/
House for sale,"9464 Painted Canyon Cir, Highlands Ranch, CO 80129","$625,000 ",9464 Painted Canyon Cir ,Highlands Ranch,CO,80129,"2,963",https://www.zillow.com/homedetails/9464-Painted-Canyon-Cir-Highlands-Ranch-CO-80129/13438470_zpid/
House for sale,"9828 Spring Hill Dr, Highlands Ranch, CO 80129","$580,000 ",9828 Spring Hill Dr ,Highlands Ranch,CO,80129,"2,517",https://www.zillow.com/homedetails/9828-Spring-Hill-Dr-Highlands-Ranch-CO-80129/13439133_zpid/
Townhouse for sale,"1100 Rockhurst Dr Unit E, Littleton, CO 80129","$490,000 ",1100 Rockhurst Dr Unit E,Littleton,CO,80129,"2,134",https://www.zillow.com/homedetails/1100-Rockhurst-Dr-UNIT-E-Littleton-CO-80129/2078368851_zpid/
New construction,"9051 Southurst Ct # 8aresb, Highlands Ranch, CO 80129","$500,400 ",9051 Southurst Ct # 8ARESB,Highlands Ranch,CO,80129,"2,319",https://www.zillow.com/community/crescendo-at-central-park/2085742464_zpid/
House for sale,"508 Winterthur Way, Highlands Ranch, CO 80129","$562,900 ",508 Winterthur Way ,Highlands Ranch,CO,80129,"2,642",https://www.zillow.com/homedetails/508-Winterthur-Way-Highlands-Ranch-CO-80129/13448002_zpid/
New construction,"9051 Southurst Ct # 89ntlj, Highlands Ranch, CO 80129","$519,400 ",9051 Southurst Ct # 89NTLJ,Highlands Ranch,CO,80129,"2,411",https://www.zillow.com/community/crescendo-at-central-park/2085742463_zpid/
New construction,"9051 Southurst Ct # 894105, Highlands Ranch, CO 80129","$487,400 ",9051 Southurst Ct # 894105,Highlands Ranch,CO,80129,"2,297",https://www.zillow.com/community/crescendo-at-central-park/2085742461_zpid/
House for sale,"9596 S Castle Ridge Cir, Highlands Ranch, CO 80129","$459,000 ",9596 S Castle Ridge Cir ,Highlands Ranch,CO,80129,"2,202",https://www.zillow.com/homedetails/9596-S-Castle-Ridge-Cir-Highlands-Ranch-CO-80129/2130702909_zpid/
House for sale,"10124 Mockingbird Ln, Highlands Ranch, CO 80129","$715,000 ",10124 Mockingbird Ln ,Highlands Ranch,CO,80129,"4,770",https://www.zillow.com/homedetails/10124-Mockingbird-Ln-Highlands-Ranch-CO-80129/52457498_zpid/
Condo for sale,"2134 Primo Rd Unit 205, Littleton, CO 80129","$390,000 ",2134 Primo Rd Unit 205,Littleton,CO,80129,"1,151",https://www.zillow.com/homedetails/2134-Primo-Rd-UNIT-205-Littleton-CO-80129/157719688_zpid/
New construction,"9051 Southurst Ct # 88k8er, Highlands Ranch, CO 80129","$470,900 ",9051 Southurst Ct # 88K8ER,Highlands Ranch,CO,80129,"2,148",https://www.zillow.com/community/crescendo-at-central-park/2085742465_zpid/
House for sale,"9086 Delacorte St, Highlands Ranch, CO 80129","$612,500 ",9086 Delacorte St ,Highlands Ranch,CO,80129,"2,277",https://www.zillow.com/homedetails/9086-Delacorte-St-Highlands-Ranch-CO-80129/245220343_zpid/
New construction,"9051 Southurst Ct # 8a7m6x, Littleton, CO 80129","$471,900 ",9051 Southurst Ct # 8A7M6X,Littleton,CO,80129,"2,108",https://www.zillow.com/community/crescendo-at-central-park/2085742462_zpid/
Condo for sale,"1062 Rockhurst Dr Unit 305, Littleton, CO 80129","$324,800 ",1062 Rockhurst Dr Unit 305,Littleton,CO,80129,"1,000",https://www.zillow.com/homedetails/1062-Rockhurst-Dr-UNIT-305-Littleton-CO-80129/123457750_zpid/
Townhouse for sale,"8839 Edinburgh Cir, Highlands Ranch, CO 80129","$450,000 ",8839 Edinburgh Cir ,Highlands Ranch,CO,80129,"1,866",https://www.zillow.com/homedetails/8839-Edinburgh-Cir-Highlands-Ranch-CO-80129/52456999_zpid/
For sale by owner,"9458 Wolfe St, Highlands Ranch, CO 80129","$550,000 ",9458 Wolfe St ,Highlands Ranch,CO,80129,"2,767",https://www.zillow.com/homedetails/9458-Wolfe-St-Highlands-Ranch-CO-80129/13440295_zpid/
Townhouse for sale,"8887 Tappy Toorie Cir, Highlands Ranch, CO 80129","$500,000 ",8887 Tappy Toorie Cir ,Highlands Ranch,CO,80129,"2,658",https://www.zillow.com/homedetails/8887-Tappy-Toorie-Cir-Highlands-Ranch-CO-80129/52457021_zpid/
New construction,"2476 Channel Dr, Highlands Ranch, CO 80129","$552,231 ",2476 Channel Dr ,Highlands Ranch,CO,80129,"1,800",https://www.zillow.com/homedetails/2476-Channel-Dr-Highlands-Ranch-CO-80129/249983767_zpid/
House for sale,"762 Shadowstone Dr, Highlands Ranch, CO 80129","$825,000 ",762 Shadowstone Dr ,Highlands Ranch,CO,80129,"4,639",https://www.zillow.com/homedetails/762-Shadowstone-Dr-Highlands-Ranch-CO-80129/13448185_zpid/
Condo for sale,"2366 Primo Rd Unit 206, Littleton, CO 80129","$410,000 ",2366 Primo Rd Unit 206,Littleton,CO,80129,"1,151",https://www.zillow.com/homedetails/2366-Primo-Rd-UNIT-206-Littleton-CO-80129/118439401_zpid/
House for sale,"9622 Mountain Daisy Way, Highlands Ranch, CO 80129","$628,000 ",9622 Mountain Daisy Way ,Highlands Ranch,CO,80129,"3,862",https://www.zillow.com/homedetails/9622-Mountain-Daisy-Way-Highlands-Ranch-CO-80129/13440754_zpid/
New construction,"2646 Channel Dr, Highlands Ranch, CO 80129","$524,213 ",2646 Channel Dr ,Highlands Ranch,CO,80129,"1,800",https://www.zillow.com/homedetails/2646-Channel-Dr-Highlands-Ranch-CO-80129/249983496_zpid/
House for sale,"9254 Ironwood Way, Highlands Ranch, CO 80129","$599,900 ",9254 Ironwood Way ,Highlands Ranch,CO,80129,"3,053",https://www.zillow.com/homedetails/9254-Ironwood-Way-Highlands-Ranch-CO-80129/13439971_zpid/
House for sale,"3394 Sturbridge Dr, Highlands Ranch, CO 80129","$675,000 ",3394 Sturbridge Dr ,Highlands Ranch,CO,80129,"3,968",https://www.zillow.com/homedetails/3394-Sturbridge-Dr-Highlands-Ranch-CO-80129/13438562_zpid/
Condo for sale,"725 Elmhurst Dr Unit 309, Littleton, CO 80129","$325,000 ",725 Elmhurst Dr Unit 309,Littleton,CO,80129,966,https://www.zillow.com/homedetails/725-Elmhurst-Dr-UNIT-309-Littleton-CO-80129/125156954_zpid/
Condo for sale,"1062 Rockhurst Dr Unit 401, Littleton, CO 80129","$280,000 ",1062 Rockhurst Dr Unit 401,Littleton,CO,80129,714,https://www.zillow.com/homedetails/1062-Rockhurst-Dr-UNIT-401-Littleton-CO-80129/123454518_zpid/
Condo for sale,"725 Elmhurst Dr Unit 310, Littleton, CO 80129","$319,500 ",725 Elmhurst Dr Unit 310,Littleton,CO,80129,966,https://www.zillow.com/homedetails/725-Elmhurst-Dr-UNIT-310-Littleton-CO-80129/125156995_zpid/
New construction,"8315 Riverscape Ct, Highlands Ranch, CO 80129","$518,918 ",8315 Riverscape Ct ,Highlands Ranch,CO,80129,"1,800",https://www.zillow.com/homedetails/8315-Riverscape-Ct-Highlands-Ranch-CO-80129/249983760_zpid/
New construction,"8311 Riverscape Ct, Highlands Ranch, CO 80129","$546,765 ",8311 Riverscape Ct ,Highlands Ranch,CO,80129,"1,800",https://www.zillow.com/homedetails/8311-Riverscape-Ct-Highlands-Ranch-CO-80129/249984954_zpid/
Pre-foreclosure / Auction,"2539 Greensborough Dr, Highlands Ranch, CO 80129","$702,262 ",2539 Greensborough Dr ,Highlands Ranch,CO,80129,"3,019",https://www.zillow.com/homedetails/2539-Greensborough-Dr-Highlands-Ranch-CO-80129/13438016_zpid/
Townhouse for sale,"950 Elmhurst Dr Unit D, Highlands Ranch, CO 80129","$463,000 ",950 Elmhurst Dr Unit D,Highlands Ranch,CO,80129,"1,956",https://www.zillow.com/homedetails/950-Elmhurst-Dr-UNIT-D-Highlands-Ranch-CO-80129/108381924_zpid/
Auction,"1241 Savannah Sparrow Dr, Highlands Ranch, CO 80129","$444,355 ",1241 Savannah Sparrow Dr ,Highlands Ranch,CO,80129,"1,469",https://www.zillow.com/homedetails/1241-Savannah-Sparrow-Dr-Highlands-Ranch-CO-80129/13448587_zpid/
Condo for sale,"2134 Primo Rd Unit 207, Littleton, CO 80129","$508,000 ",2134 Primo Rd Unit 207,Littleton,CO,80129,"1,617",https://www.zillow.com/homedetails/2134-Primo-Rd-UNIT-207-Littleton-CO-80129/157719566_zpid/
House for sale,"3476 Westbrook Ln, Highlands Ranch, CO 80129","$640,000 ",3476 Westbrook Ln ,Highlands Ranch,CO,80129,"4,346",https://www.zillow.com/homedetails/3476-Westbrook-Ln-Highlands-Ranch-CO-80129/13438566_zpid/
House for sale,"3342 Westbrook Ln, Highlands Ranch, CO 80129","$750,000 ",3342 Westbrook Ln ,Highlands Ranch,CO,80129,"4,213",https://www.zillow.com/homedetails/3342-Westbrook-Ln-Highlands-Ranch-CO-80129/13438537_zpid/
New construction,"2625 Channel Dr, Highlands Ranch, CO 80129","$469,950 ",2625 Channel Dr ,Highlands Ranch,CO,80129,"1,800",https://www.zillow.com/community/cityscape-at-highline/249986122_zpid/
