Street Address,Lat,Lng
9495 Princeton Cir,39.544237,-104.911963
4718 Fenwood Dr,39.5323469,-104.9339117
10081 Blackbird Cir,39.5350016,-104.9146803
10212 Nickolas Ave,39.5309381,-104.9193111
10048 Broome Way,39.5336958,-104.9316075
6462 Silver Mesa Dr UNIT D,39.5546859,-104.916364
6470 Silver Mesa Dr UNIT A,39.554545,-104.915464
8645 Gold Peak Pl UNIT E,39.56007,-104.9162221
8726 Aberdeen Cir,39.5580928,-104.9296455
4575 Fenwood Pl,39.5325892,-104.9355316
8571 Gold Peak Dr UNIT F,39.5602367,-104.91736
8860 Chestnut Hill Way,39.555736,-104.9103689
4911 Montvale Dr,39.5212084,-104.939296
10905 Glengate Cir,39.514441,-104.9318128
8551 Gold Peak Dr,39.5610256,-104.9161973
9380 Weeping Willow Ct,39.54675659999999,-104.9278204
9323 Weeping Willow Pl,39.5481307,-104.9266797
6281 Yale Dr,39.5462968,-104.9147259
8831 Jackdaw St,39.5551389,-104.934516
10198 Kleinbrook Way,39.5280511,-104.9424217
1533 Sunset Ridge Rd,39.5528889,-104.9714459
611 White Cloud Dr,39.5641272,-104.9818064
8468 Thunder Ridge Way UNIT 203,39.5629771,-104.9434893
10969 Skydance Dr,39.5170775,-104.9827265
1255 Goldsmith Dr,39.5482366,-104.9754394
770 Old Stone Dr,39.55842930000001,-104.9773792
2829 Huntsford Cir,39.5327914,-104.956454
4771 Copeland Cir UNIT 203,39.5585889,-104.9372073
8859 Miners Pl,39.5545786,-104.9441101
9303 Cobblecrest Dr,39.5478354,-104.9762381
3557 Craftsbury Dr,39.5218682,-104.9440645
9917 Aftonwood St,39.535774,-104.941995
10841 Backcountry Dr,39.5196848,-104.9856793
620 Huntington Dr,34.1312181,-118.0521392
3 Falcon Hills Dr,39.5591455,-104.9567278
9469 Lark Sparrow Dr,39.5440983,-104.9348471
23 Red Tail Dr,39.5524543,-104.9505215
Iris Ct,41.3210032,-72.9077233
10521 Leahurst Ln,39.5249164,-104.9788583
3379 Darlington Cir,39.5164706,-104.9463461
2803 Timberchase Trl,39.5272639,-104.9565681
4730 Copeland Cir UNIT 204,39.5586069,-104.9358394
10798 Mountshire Cir,39.5191945,-104.9560205
831 Courtland Pl,32.8309832,-96.608002
8437 Thunder Ridge Way UNIT 203,39.56367230000001,-104.9437143
8455 Pebble Creek Way UNIT 203,39.5626397,-104.9440636
9307 Shadowglen Ct,39.5464394,-104.9706244
9292 Rockport Ln,39.54717,-104.9469849
9561 Pendio Ct,39.542284,-104.950678
8353 Sunnyside Ct,39.5633266,-104.9722674
3146 Woodbriar Dr,39.5217917,-104.9521871
9545 Joyce Ln,39.542578,-104.9810761
36 Woodland Cir,39.55,-104.990627
2753 Timberchase Trl,39.5280124,-104.9583935
8318 Stonybridge Cir,39.565193,-104.949704
452 Pine Flower Ct,39.5209345,-104.9944391
8978 Green Meadows Ln,39.5534504,-104.9561802
10235 Charissglen Cir,39.5271611,-104.9620216
4771 Copeland Cir UNIT 204,39.5585889,-104.9372073
10836 Manor Stone Dr,39.5194176,-104.9957052
857 Fairchild Dr,39.532049,-104.978197
10474 Marigold Ct,39.5262869,-104.984933
3730 White Bay Dr,39.5497644,-104.9456412
10710 Manor Stone Dr,39.5215893,-104.9973713
81 Falcon Hills Dr,39.55392399999999,-104.954817
3165 Thistlebrook Cir,39.5296537,-104.9525066
8798 Westwind Ln,39.5574482,-104.958827
9931 Stratford Ln,39.5359381,-104.9636417
683 Ridgemont Cir,39.5293709,-104.9817608
10830 Hickory Ridge St,39.51930730000001,-104.9429465
Royal Eagle Ln,39.5317827,-104.9955001
1401 Carlyle Park Cir,39.54454,-105.006843
1144 Rockhurst Dr UNIT 305,39.5440568,-105.0023339
9201 Roadrunner St,39.5491163,-105.0106551
8949 Delacorte St,39.5535557,-105.0001209
"Greenwich Plan, Cityscape at Highline",39.565922,-105.0210976
86 Whitehaven Cir,39.53096499999999,-104.990074
2787 Golden Eagle Ct,39.54110379999999,-105.0224562
189 Whitehaven Cir,39.530175,-104.988624
10522 Hyacinth St,39.5260027,-105.0187811
"Devoe Plan, Cityscape at Highline",39.565922,-105.0210976
2500 Greensborough Dr,39.556362,-105.0181648
"Soho Plan, Cityscape at Highline",39.565922,-105.0210976
3685 Bucknell Dr,39.5398362,-105.0325233
9205 Ironwood Way,39.5490758,-105.0163615
3418 Oak Leaf Pl,39.5315293,-105.029761
2754 Rockbridge Dr,39.554209,-105.022599
9258 Rockhurst St UNIT 102,39.54553980000001,-104.9987778
725 Elmhurst Dr UNIT 304,39.5448031,-104.9988363
2627 Bitterroot Pl,39.5503794,-105.0198083
