House status,Name,Price,Street Address,Locality,Region,PostalCode,Size,Href
New construction,"Lincoln (Residence 49203) Plan, Anthology, Parker, CO 80134","$579,990 ","Lincoln (Residence 49203) Plan, Anthology",Parker,CO,80134,"3,162",https://www.zillow.com/community/anthology/2080665086_zpid/
For sale by owner,"15705 Savory Cir, Parker, CO 80134","$550,000 ",15705 Savory Cir,Parker,CO,80134,"3,631",https://www.zillow.com/homedetails/15705-Savory-Cir-Parker-CO-80134/108399178_zpid/
New construction,"Residence Two Plan, The Timbers At The Pinery By Berkeley Homes, Parker, CO 80134","$839,900 ","Residence Two Plan, The Timbers at the Pinery by Berkeley Homes",Parker,CO,80134,"3,690",https://www.zillow.com/community/timbers-at-pinery-by-berkeley-homes/2087743570_zpid/
New construction,"Residence 3a Plan, The Trails At Westcreek, Parker, CO 80134","$349,990 ","Residence 3A Plan, The Trails at Westcreek",Parker,CO,80134,"1,318",https://www.zillow.com/community/trails-at-westcreek/2079534000_zpid/
Condo for sale,"12766 Ironstone Way Apt 203, Parker, CO 80134","$269,950 ",12766 Ironstone Way APT 203,Parker,CO,80134,"1,038",https://www.zillow.com/homedetails/12766-Ironstone-Way-APT-203-Parker-CO-80134/63390397_zpid/
New construction,"European Hillside Umbria Plan, Pradera, Parker, CO 80134","$989,950 ","European Hillside Umbria Plan, Pradera",Parker,CO,80134,"2,756",https://www.zillow.com/community/pradera/2081380502_zpid/
New construction,"Plan 1747 Plan, Stone Creek Ranch, Parker, CO 80134","$416,495 ","Plan 1747 Plan, Stone Creek Ranch",Parker,CO,80134,"1,719",https://www.zillow.com/community/stone-creek-ranch/2079733372_zpid/
House for sale,"11979 S Copper Creek Cir, Parker, CO 80134","$599,900 ",11979 S Copper Creek Cir,Parker,CO,80134,"3,879",https://www.zillow.com/homedetails/11979-S-Copper-Creek-Cir-Parker-CO-80134/82028480_zpid/
New construction,"9283 Twenty Mile Rd Unit 406, Parker, CO 80134","$345,320 ",9283 Twenty Mile Rd UNIT 406,Parker,CO,80134,"1,203",https://www.zillow.com/homedetails/9283-Twenty-Mile-Rd-UNIT-406-Parker-CO-80134/2078067630_zpid/
New construction,"9283 Twenty Mile Rd Unit 403, Parker, CO 80134","$333,870 ",9283 Twenty Mile Rd UNIT 403,Parker,CO,80134,"1,147",https://www.zillow.com/homedetails/9283-Twenty-Mile-Rd-UNIT-403-Parker-CO-80134/2078067631_zpid/
